condition,pathogenic_variant_count
Autosomal recessive nonsyndromic hearing loss 3,615
Autosomal recessive nonsyndromic hearing loss 2,613
Hereditary spastic paraplegia 30,610
KBG syndrome,608
Alagille syndrome due to a JAG1 point mutation,605
Cowden syndrome 1,604
Autosomal recessive nonsyndromic hearing loss 4,604
"Developmental and epileptic encephalopathy, 11",602
"Oto-palato-digital syndrome, type II",601
Melnick-Needles syndrome,600
Primary familial hypertrophic cardiomyopathy,598
Walker-Warburg congenital muscular dystrophy,598
Frontometaphyseal dysplasia,592
Baller-Gerold syndrome,592
Zellweger spectrum disorders,591
Autosomal recessive limb-girdle muscular dystrophy,590
Birt-Hogg-Dube syndrome,590
"Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2",590
7 conditions,586
Adrenoleukodystrophy,583
Hereditary factor VIII deficiency disease,577
Congenital contractural arachnodactyly,572
Saldino-Mainzer syndrome,570
Ovarian serous cystadenocarcinoma,568
Hereditary hemorrhagic telangiectasia,566
Hereditary spastic paraplegia 4,564
Ehlers-Danlos syndrome,562
Amyotrophic lateral sclerosis type 4,561
Norman-Roberts syndrome,557
Hereditary pancreatitis,556
Sotos syndrome,549
Acute myeloid leukemia,548
Chuvash polycythemia,548
Mucolipidosis type II,546
"Mitochondrial complex II deficiency, nuclear type 1",543
Maple syrup urine disease,541
"Mucopolysaccharidosis, MPS-IV-B",539
Epidermolysis bullosa dystrophica,537
Congenital bilateral aplasia of vas deferens from CFTR mutation,537
"Intellectual disability, autosomal dominant 9",537
"Colorectal cancer, susceptibility to, 10",534
Leigh syndrome,531
Osteogenesis imperfecta,525
"Congenital myotonia, autosomal recessive form",524
"Telangiectasia, hereditary hemorrhagic, type 2",523
Autosomal dominant hypocalcemia 1,518
Connective tissue disorder,516
"Seizures, benign familial infantile, 3",515
Arrhythmogenic right ventricular cardiomyopathy,514
Hereditary nonpolyposis colon cancer,513
Merosin deficient congenital muscular dystrophy,511
Werner syndrome,510
Pendred syndrome,510
"Congenital hyperammonemia, type I",509
Hypophosphatasia,508
"Breast-ovarian cancer, familial, susceptibility to, 3",507
Seizure,506
"Hyperinsulinemic hypoglycemia, familial, 1",506
Brugada syndrome,505
Congenital long QT syndrome,504
"Multiple endocrine neoplasia, type 2",502
Multiple acyl-CoA dehydrogenase deficiency,495
"Mucopolysaccharidosis, MPS-III-B",495
Peroxisome biogenesis disorder,494
Usher syndrome type 1D,493
Hereditary pheochromocytoma and paraganglioma,493
Colorectal cancer,492
"Developmental and epileptic encephalopathy, 2",491
"Neuropathy, hereditary sensory and autonomic, type 2A",488
Hypertrophic cardiomyopathy 4,486
"Dyskeratosis congenita, autosomal dominant 2",484
Charcot-Marie-Tooth disease axonal type 2O,480
Usher syndrome,476
Classic or attenuated familial adenomatous polyposis,475
Menkes kinky-hair syndrome,473
Oligodontia-cancer predisposition syndrome,469
Metachromatic leukodystrophy,466
Fetal akinesia deformation sequence 1,466
"Neuropathy, hereditary sensory, type 2C",465
Carcinoma of colon,465
Aplastic anemia,464
Familial Mediterranean fever,464
Multiple congenital exostosis,461
Dilated cardiomyopathy 1DD,461
Finnish congenital nephrotic syndrome,459
Arrhythmogenic right ventricular dysplasia 9,455
Familial temporal lobe epilepsy 7,450
Familial hypocalciuric hypercalcemia,448
Familial dysautonomia,448
GNE myopathy,446
Miyoshi muscular dystrophy 1,444
"Congenital myotonia, autosomal dominant form",444
Pheochromocytoma/paraganglioma syndrome 4,443
Landau-Kleffner syndrome,441
"Mucopolysaccharidosis, MPS-IV-A",439
Galactosylceramide beta-galactosidase deficiency,437
Neurofibromatosis-Noonan syndrome,432
Deficiency of alpha-mannosidase,430
Familial hypokalemia-hypomagnesemia,429
Medium-chain acyl-coenzyme A dehydrogenase deficiency,428
"Intellectual disability, autosomal dominant 5",427
Mucopolysaccharidosis type 1,426
Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency,426
Catecholaminergic polymorphic ventricular tachycardia,425
Bethlem myopathy 2,425
Aniridia 1,425
Joubert syndrome 5,422
Hereditary spherocytosis type 1,422
Usher syndrome type 2C,421
Lymphangiomyomatosis,421
Congenital multicore myopathy with external ophthalmoplegia,421
"Niemann-Pick disease, type B",420
Pseudo-Hurler polydystrophy,419
Autosomal recessive nonsyndromic hearing loss 12,417
"Developmental and epileptic encephalopathy, 9",417
"Developmental and epileptic encephalopathy, 1",416
Café-au-lait macules with pulmonary stenosis,416
Leber congenital amaurosis 2,415
Renal cell carcinoma,413
Bifunctional peroxisomal enzyme deficiency,413
"Dyskeratosis congenita, autosomal recessive 5",411
Ovarian neoplasm,411
Ullrich congenital muscular dystrophy 2,407
"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-positive",407
Rubinstein-Taybi syndrome due to CREBBP mutations,407
Hypertrophic cardiomyopathy 1,406
Wilms tumor 1,406
Smith-Lemli-Opitz syndrome,405
Wolfram syndrome 1,403
Asphyxiating thoracic dystrophy 3,402
"Neurofibromatosis, type 2",399
Combined immunodeficiency with skin granulomas,399
Lung cancer,396
Malignant tumor of urinary bladder,394
"Neuroblastoma, susceptibility to, 3",394
Glanzmann thrombasthenia,393
Chédiak-Higashi syndrome,393
Pyruvate dehydrogenase E1-alpha deficiency,391
Mowat-Wilson syndrome,391
"Breast-ovarian cancer, familial, susceptibility to, 4",390
Junctional epidermolysis bullosa gravis of Herlitz,390
"Glycogen storage disease, type IV",390
"Glutaric aciduria, type 1",389
Muir-Torré syndrome,389
"Meckel syndrome, type 4",389
Leber congenital amaurosis 10,388
"Glycogen storage disease, type V",383
"Neurofibromatosis, familial spinal",378
"Hematuria, benign familial, 1",377
"Familial Mediterranean fever, autosomal dominant",377
Familial adenomatous polyposis 4,375
Dystrophin deficiency,375
Developmental and epileptic encephalopathy 94,373
Long QT syndrome 1,369
Arrhythmogenic right ventricular dysplasia 10,368
Medulloblastoma,367
Idiopathic Pulmonary Fibrosis,366
Usher syndrome type 1B,366
Hereditary factor IX deficiency disease,366
Autosomal recessive inherited pseudoxanthoma elasticum,366
Global developmental delay,365
Renal carnitine transport defect,365
"Intellectual disability, autosomal dominant 16",365
Autosomal recessive nonsyndromic hearing loss 77,365
Primary ciliary dyskinesia 7,363
Tay-Sachs disease,362
Deafness-lymphedema-leukemia syndrome,361
"Alport syndrome 3b, autosomal recessive",359
Central core myopathy,359
Familial X-linked hypophosphatemic vitamin D refractory rickets,358
Polycystic kidney disease 2,357
Hepatocellular carcinoma,357
Autosomal recessive distal spinal muscular atrophy 1,354
Usher syndrome type 1F,354
Collagen 6-related myopathy,351
Kleefstra syndrome 1,351
Gaucher disease,351
Androgen resistance syndrome,351
