condition,pathogenic_variant_count
Dyslipidemia,94
"Polyposis syndrome, hereditary mixed, 2",94
"Pulmonary fibrosis and/or bone marrow failure, Telomere-related, 1",94
Stiff skin syndrome,94
Cerebral cavernous malformation 2,94
Autoimmune enteropathy and endocrinopathy - susceptibility to chronic infections syndrome,94
Basal laminar drusen,94
"Periodontitis, aggressive",94
Factor H deficiency,94
"Paget disease of bone 2, early-onset",94
Retinal arterial tortuosity,94
Abnormal bleeding,94
Camptomelic dysplasia,93
Congenital myasthenic syndrome 17,93
Cranioectodermal dysplasia 4,93
Malan overgrowth syndrome,93
Leber congenital amaurosis 4,93
Primary ciliary dyskinesia 15,93
Amyotrophic lateral sclerosis type 6,93
Diffuse cerebral and cerebellar atrophy - intractable seizures - progressive microcephaly syndrome,93
Brugada syndrome 8,93
Loeys-Dietz syndrome,93
Amyotrophic lateral sclerosis type 12,92
Bartter disease type 3,92
Floating-Harbor syndrome,92
Frontotemporal dementia and/or amyotrophic lateral sclerosis 4,92
Focal segmental glomerulosclerosis 7,92
"Cutis laxa, autosomal dominant 3",92
Seckel syndrome 1,92
"T-cell immunodeficiency, congenital alopecia, and nail dystrophy",92
PIEZO1-related disorder,92
Anophthalmia-microphthalmia syndrome,92
Sick sinus syndrome 1,92
Brachydactyly type B1,92
"Hypercholesterolemia, familial, 4",92
Lafora disease,91
Neuromuscular disease caused by qualitative or quantitative defects of dystrophin,91
Factor V deficiency,91
Severe intellectual disability-progressive spastic diplegia syndrome,91
Cone-rod dystrophy 12,91
Transcobalamin II deficiency,91
Mulibrey nanism syndrome,91
Squamous cell lung carcinoma,91
Brugada syndrome 5,91
DiGeorge syndrome,91
"Mucopolysaccharidosis, MPS-III-D",91
Dilated cardiomyopathy 1W,91
EAST syndrome,90
Townes syndrome,90
"Ehlers-Danlos syndrome, arthrochalasia type",90
Nephronophthisis 1,90
Holoprosencephaly 3,90
"Developmental and epileptic encephalopathy, 31A",90
Cowden syndrome,90
Male infertility,90
"Cardiomyopathy, familial hypertrophic 27",90
Multiple gastrointestinal atresias,90
Congenital muscular dystrophy due to integrin alpha-7 deficiency,90
ZTTK syndrome,90
Autosomal dominant nonsyndromic hearing loss 22,90
"Channelopathy-associated congenital insensitivity to pain, autosomal recessive",90
"Epilepsy, childhood absence, susceptibility to, 5",90
"Microcephaly 9, primary, autosomal recessive",90
Infantile liver failure syndrome 2,90
JAG1-related disorder,90
Ectopic tissue,90
"Ventricular fibrillation, paroxysmal familial, type 1",89
Autosomal recessive multiple pterygium syndrome,89
Congenital myasthenic syndrome 4B,89
Combined deficiency of sialidase AND beta galactosidase,89
Retinitis pigmentosa 1,89
IFT172-related disorder,89
Duane-radial ray syndrome,89
Ataxia - intellectual disability - oculomotor apraxia - cerebellar cysts syndrome,89
Smith-Magenis syndrome,88
Mendelian susceptibility to mycobacterial diseases due to partial STAT1 deficiency,88
"Deafness, congenital heart defects, and posterior embryotoxon",88
"Malaria, susceptibility to",88
Rothmund-Thomson syndrome type 2,88
MYO7A-related disorder,88
Cornelia de Lange syndrome 3,88
Developmental and epileptic encephalopathy 6B,88
Autosomal recessive limb-girdle muscular dystrophy type 2F,88
"Hyperinsulinemic hypoglycemia, familial, 2",88
Intestinal hypomagnesemia 1,87
Cerebroretinal microangiopathy with calcifications and cysts 1,87
STAT3 gain of function,87
Rafiq syndrome,87
Van Maldergem syndrome 2,87
Baraitser-Winter syndrome 1,87
Carnitine deficiency,87
ALG8 congenital disorder of glycosylation,87
"Epilepsy, childhood absence 4",87
Schöpf-Schulz-Passarge syndrome,87
Charcot-Marie-Tooth disease type 2A2,87
Infantile cortical hyperostosis,87
Axenfeld-Rieger syndrome type 1,87
Cystinosis,87
Acute intermittent porphyria,87
Glioma susceptibility 1,87
"Charcot-Marie-Tooth disease, axonal, Type 2HH",87
Combined oxidative phosphorylation defect type 14,87
Laryngo-onycho-cutaneous syndrome,87
Sengers syndrome,87
Neonatal intrahepatic cholestasis due to citrin deficiency,87
Spondylometaphyseal dysplasia - Sutcliffe type,86
"Exostoses, multiple, type 1",86
"Epilepsy, idiopathic generalized, susceptibility to, 8",86
Long QT syndrome 11,86
Familial episodic pain syndrome with predominantly lower limb involvement,86
Hereditary xanthinuria type 1,86
"Glycogen storage disease, type VI",86
Joubert syndrome 6,86
Autosomal recessive juvenile Parkinson disease 2,86
Lymphatic malformation 6,86
"Microcephaly with or without chorioretinopathy, lymphedema, or intellectual disability",86
"Granulomatous disease, chronic, autosomal recessive, cytochrome b-positive, type 2",86
"Pulmonary fibrosis and/or bone marrow failure, Telomere-related, 4",86
Immunodeficiency 35,86
Cardio-facio-cutaneous syndrome,86
Hennekam lymphangiectasia-lymphedema syndrome 2,85
Autosomal dominant childhood-onset proximal spinal muscular atrophy with contractures,85
Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome,85
"X-linked intellectual disability, Cantagrel type",85
"Ehlers-Danlos syndrome, classic type, 2",85
Congenital stationary night blindness 1C,85
Developmental delay with variable intellectual impairment and behavioral abnormalities,85
Hereditary spastic paraplegia 8,85
Deficiency of malonyl-CoA decarboxylase,85
Pheochromocytoma/paraganglioma syndrome 1,85
PMS2-related disorder,85
Glomerulopathy with fibronectin deposits 2,85
"Polyps, multiple and recurrent inflammatory fibroid, gastrointestinal",85
Spastic ataxia,85
Congenital afibrinogenemia,84
Carnitine acylcarnitine translocase deficiency,84
Spherocytosis,84
Stuve-Wiedemann syndrome,84
Dilated cardiomyopathy 1J,84
"Dyskeratosis congenita, autosomal recessive 6",84
Xeroderma pigmentosum group A,84
Peroxisome biogenesis disorder 7B,84
"Epilepsy, familial temporal lobe, 1",84
"Trichothiodystrophy 1, photosensitive",84
"Sialic acid storage disease, severe infantile type",84
X-linked mixed hearing loss with perilymphatic gusher,84
Perrault syndrome 1,84
Congenital glaucoma,84
Intellectual developmental disorder 62,84
"Progressive familial heart block, type 1A",84
Osteogenesis imperfecta type 7,83
"Otospondylomegaepiphyseal dysplasia, autosomal dominant",83
X-linked lymphoproliferative disease due to XIAP deficiency,83
Hereditary sensory and autonomic neuropathy type 7,83
"Microcephaly 3, primary, autosomal recessive",83
Fetal akinesia deformation sequence 2,83
"Epilepsy, childhood absence, susceptibility to, 1",83
Mitochondrial complex III deficiency nuclear type 1,83
Autosomal recessive limb-girdle muscular dystrophy type R18,83
Nicolaides-Baraitser syndrome,83
Capillary malformation-arteriovenous malformation 1,82
Paroxysmal extreme pain disorder,82
Mitochondrial hypertrophic cardiomyopathy with lactic acidosis due to MTO1 deficiency,82
"Polydactyly, postaxial, type A1",82
Methylmalonic aciduria and homocystinuria type cblD,82
CC2D2A-related disorder,82
Van der Woude syndrome,82
Hyperekplexia 3,82
Familial hemophagocytic lymphohistiocytosis,82
"Intellectual disability, autosomal dominant 50",82
Leber congenital amaurosis 3,82
Budd-Chiari syndrome,82
NOTCH1-related disorder,82
"Diffuse midline glioma, H3 K27M-mutant",82
Tall stature-scoliosis-macrodactyly of the great toes syndrome,82
Atypical hemolytic-uremic syndrome with I factor anomaly,81
Distal arthrogryposis type 2B1,81
Ventricular arrhythmias due to cardiac ryanodine receptor calcium release deficiency syndrome,81
Obesity,81
Corticosterone methyloxidase type 2 deficiency,81
Knobloch syndrome,81
"Epilepsy, X-linked 1, with variable learning disabilities and behavior disorders",81
Primary ciliary dyskinesia 28,81
RET-related disorder,81
Congenital factor VII deficiency,81
Wolcott-Rallison dysplasia,81
Amyotrophic lateral sclerosis,81
"Ectodermal dysplasia 10A, hypohidrotic/hair/nail type, autosomal dominant",81
Sessile serrated polyposis cancer syndrome,81
Popliteal pterygium syndrome,81
Pityriasis rubra pilaris,81
Pyruvate kinase deficiency of red cells,81
"Weill-Marchesani 4 syndrome, recessive",81
Mandibular hypoplasia-deafness-progeroid syndrome,81
"Hypotonia, infantile, with psychomotor retardation and characteristic facies 3",80
Freeman-Sheldon syndrome,80
de Barsy syndrome,80
Psoriasis 2,80
Bohring-Opitz syndrome,80
Autosomal dominant spastic paraplegia type 9,80
"Developmental and epileptic encephalopathy, 18",80
Giant axonal neuropathy 1,80
"Brain small vessel disease 2A, autosomal dominant",80
"Hypophosphatemic rickets, autosomal recessive, 2",80
"Mucopolysaccharidosis, MPS-I-S",80
"Developmental and epileptic encephalopathy, 25",80
"Thrombophilia due to protein S deficiency, autosomal dominant",80
Nail-patella syndrome,80
Primary erythromelalgia,80
Dilated cardiomyopathy 1CC,79
"Centromeric instability of chromosomes 1,9 and 16 and immunodeficiency",79
Autosomal recessive nonsyndromic hearing loss 37,79
"Intellectual disability, autosomal dominant 29",79
Primary open angle glaucoma,79
Micrognathia-recurrent infections-behavioral abnormalities-mild intellectual disability syndrome,79
Autosomal recessive Parkinson disease 14,79
Autosomal recessive nonsyndromic hearing loss 30,79
O'Donnell-Luria-Rodan syndrome,79
Congenital generalized lipodystrophy type 2,79
Infantile nephronophthisis,79
CFI-related disorder,79
Senior-Loken syndrome 5,79
Autosomal dominant nonsyndromic hearing loss 4A,79
Joubert syndrome 20,79
Congenital stationary night blindness autosomal dominant 2,78
Netherton syndrome,78
Type 2 collagenopathy,78
Deficiency of 3-hydroxyacyl-CoA dehydrogenase,78
"Intellectual disability, autosomal dominant 14",78
Immunodeficiency 31B,78
CACNA1A-related disorder,78
"Ectopia lentis 2, isolated, autosomal recessive",78
Charcot-Marie-Tooth disease type 1B,78
Frontotemporal dementia and/or amyotrophic lateral sclerosis 6,78
Corticosterone 18-monooxygenase deficiency,78
Retinitis pigmentosa 74,78
Growth delay due to insulin-like growth factor I resistance,78
Uterine carcinosarcoma,78
Inherited Immunodeficiency Diseases,78
Disorders of Intracellular Cobalamin Metabolism,78
CBL-related disorder,77
Retinal macular dystrophy type 2,77
Piebaldism,77
Autosomal dominant nonsyndromic hearing loss 20,77
Fanconi anemia complementation group L,77
Autism spectrum disorder due to AUTS2 deficiency,77
Hereditary spherocytosis type 4,77
Hypertrophic cardiomyopathy 12,77
Tyrosinemia type II,77
Hypertrophic cardiomyopathy 20,77
FANCA-related disorder,77
Adenine phosphoribosyltransferase deficiency,76
Amelogenesis imperfecta type 1A,76
9 conditions,76
Immunodeficiency 23,76
"Orofacial cleft 6, susceptibility to",76
Fanconi-Bickel syndrome,76
Glutathione synthetase deficiency with 5-oxoprolinuria,76
Pontocerebellar hypoplasia type 2D,76
"Intellectual disability, CASK-related, X-linked",76
Fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3,76
Charcot-Marie-Tooth disease type 4F,76
Chronic granulomatous disease,76
Nephronophthisis 13,76
"Granulomatous disease, chronic, autosomal recessive, cytochrome b-negative",76
Renal hypodysplasia/aplasia 1,76
Optic atrophy 3,76
Frontotemporal dementia and/or amyotrophic lateral sclerosis 1,76
Bartter syndrome,76
Benign recurrent intrahepatic cholestasis type 1,76
Allan-Herndon-Dudley syndrome,76
PTCH1-related disorder,76
"Developmental delay, hypotonia, musculoskeletal defects, and behavioral abnormalities",75
Anophthalmia/microphthalmia-esophageal atresia syndrome,75
Homocystinuria,75
Trimethylaminuria,75
ABCB11-related disorder,75
Hereditary spastic paraplegia 31,75
DPAGT1-congenital disorder of glycosylation,75
Gray platelet syndrome,75
"Diabetes insipidus, nephrogenic, X-linked",75
Autosomal recessive early-onset Parkinson disease 6,75
3 beta-Hydroxysteroid dehydrogenase deficiency,75
Neuroblastoma,75
Isolated thoracic aortic aneurysm,75
Male infertility with azoospermia or oligozoospermia due to single gene mutation,74
Insulin-dependent diabetes mellitus secretory diarrhea syndrome,74
"Meckel syndrome, type 11",74
"Hypercalcemia, infantile, 2",74
Woodhouse-Sakati syndrome,74
"Developmental and epileptic encephalopathy, 28",74
ALG12-congenital disorder of glycosylation,74
Senior-Loken syndrome 1,74
"Hypoparathyroidism, deafness, renal disease syndrome",74
Alternating hemiplegia of childhood 2,74
Steroid-resistant nephrotic syndrome,74
Long QT syndrome 8,74
Warburg micro syndrome 2,74
Glanzmann thrombasthenia 1,74
Liddle syndrome 1,74
Kostmann syndrome,74
Glioma susceptibility 2,73
Deficiency of butyrylcholinesterase,73
Catecholaminergic polymorphic ventricular tachycardia 2,73
Carcinoma of pancreas,73
EP300-related disorder,73
Factor I deficiency,73
Neutral lipid storage myopathy,73
FLNA-related disorder,73
"Hyperinsulinemic hypoglycemia, familial, 3",73
Developmental disorder,73
Fructose-biphosphatase deficiency,73
TNF receptor-associated periodic fever syndrome (TRAPS),73
NPHP4-related disorder,73
Autosomal recessive nonsyndromic hearing loss 18B,73
Glycogen storage disease IXd,73
"Mitochondrial complex I deficiency, nuclear type 16",73
Mitochondrial trifunctional protein deficiency 1,73
Hepatic veno-occlusive disease-immunodeficiency syndrome,73
Joubert syndrome 28,73
Schaaf-Yang syndrome,73
Farber lipogranulomatosis,73
Glycogen storage disease IXc,72
Stargardt disease 4,72
"Desmoid disease, hereditary",72
Cornelia de Lange syndrome 5,72
Isolated microphthalmia 2,72
Cataract 1 multiple types,72
BNAR syndrome,72
Megalencephalic leukoencephalopathy with subcortical cysts,72
Wolff-Parkinson-White pattern,72
"Diabetes mellitus, transient neonatal, 3",72
Marshall-Smith syndrome,72
Mitochondrial DNA depletion syndrome 6 (hepatocerebral type),72
Hypertrichotic osteochondrodysplasia Cantu type,72
"Congenital contractures of the limbs and face, hypotonia, and developmental delay",72
Hematuria,72
Seckel syndrome 5,72
Autosomal recessive severe congenital neutropenia due to CSF3R deficiency,72
Orofacial-digital syndrome IV,72
Poirier-Bienvenu neurodevelopmental syndrome,72
Autosomal recessive limb-girdle muscular dystrophy type 2T,72
Short stature-optic atrophy-Pelger-Huët anomaly syndrome,72
Early-onset Parkinson disease 20,71
"Meckel syndrome, type 3",71
Autosomal recessive nonsyndromic hearing loss 28,71
Thrombocytopenia 2,71
COL4A4-related disorder,71
Muscular dystrophy-dystroglycanopathy type B5,71
"Pituitary hormone deficiency, combined, 2",71
Muscular dystrophy-dystroglycanopathy type B6,71
Baraitser-winter syndrome 2,71
2-aminoadipic 2-oxoadipic aciduria,71
TP53-related disorder,71
GM3 synthase deficiency,71
Hereditary hyperekplexia,71
Gilbert syndrome,71
Morquio syndrome,71
Progressive muscular dystrophy,71
Brain-lung-thyroid syndrome,71
Charcot-Marie-Tooth disease axonal type 2K,71
Non-small cell lung carcinoma,71
Bosch-Boonstra-Schaaf optic atrophy syndrome,70
"Erythrocytosis, familial, 7",70
Macular dystrophy,70
Bietti crystalline corneoretinal dystrophy,70
Alexander disease,70
COL6A3-related disorder,70
Neurodegeneration with brain iron accumulation,70
Primary ciliary dyskinesia 23,70
Multiple myeloma,70
"Niemann-Pick disease, type C2",70
Charcot-Marie-Tooth disease type 2E,70
"Xeroderma pigmentosum, group G",70
Adult polyglucosan body disease,70
Griscelli syndrome type 2,70
Desbuquois dysplasia 1,70
Alagille syndrome due to a NOTCH2 point mutation,70
Joubert syndrome 18,70
Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency,70
APOB-related disorder,70
"Aortic aneurysm, familial thoracic 6",70
"Dystonia 28, childhood-onset",70
Retinitis pigmentosa 11,70
Nephrogenic diabetes insipidus,70
DNAH5-related disorder,69
Melanoma and neural system tumor syndrome,69
Early Myoclonic Encephalopathy,69
Autosomal dominant nonsyndromic hearing loss 3A,69
"Generalized epilepsy with febrile seizures plus, type 9",69
"Congenital secretory diarrhea, chloride type",69
Familial hyperthyroidism due to mutations in TSH receptor,69
Generalized dominant dystrophic epidermolysis bullosa,69
GATA binding protein 1 related thrombocytopenia with dyserythropoiesis,69
Severe intellectual disability-poor language-strabismus-grimacing face-long fingers syndrome,69
"3-methylglutaconic aciduria, type VIIB",69
Autosomal recessive congenital ichthyosis 3,69
"Developmental and epileptic encephalopathy, 34",69
Coffin-Siris syndrome 6,69
Retinitis pigmentosa 76,69
Emery-Dreifuss muscular dystrophy,69
Gamma-aminobutyric acid transaminase deficiency,69
Cognitive impairment with or without cerebellar ataxia,69
APC-Associated Polyposis Disorders,69
Immunodeficiency 51,68
Congenital glucose-galactose malabsorption,68
Partial hypoxanthine-guanine phosphoribosyltransferase deficiency,68
Townes-Brocks syndrome 1,68
Pleuropulmonary blastoma,68
"Hypercalcemia, infantile, 1",68
"Immunodeficiency, common variable, 2",68
Left ventricular noncompaction 8,68
"Hypotonia, infantile, with psychomotor retardation and characteristic facies 2",68
Hemochromatosis type 2A,68
"Malignant lymphoma, large B-cell, diffuse",68
Aromatase deficiency,68
"Developmental and epileptic encephalopathy, 53",68
GNPTAB-mucolipidosis,68
Neuronal ceroid lipofuscinosis 8,68
"Migraine, familial hemiplegic, 2",68
Bartter disease type 2,68
"Erythrocytosis, familial, 3",68
Familial isolated deficiency of vitamin E,68
"Arthrogryposis, renal dysfunction, and cholestasis 1",68
RPGRIP1L-related disorder,68
TSC1-related disorder,68
Hereditary spastic paraplegia 2,68
MHC class I deficiency,68
Heinz body anemia,68
Multiple endocrine neoplasia,68
DE SANCTIS-CACCHIONE SYNDROME,67
"Spondylocostal dysostosis 2, autosomal recessive",67
Corticosterone methyl oxidase type II deficiency,67
Autosomal dominant Parkinson disease 8,67
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A9",67
"Microcephaly, seizures, and developmental delay",67
Congenital amegakaryocytic thrombocytopenia 1,67
IFT140-related disorder,67
Isolated cryptophthalmia,67
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A14",67
Autoimmune lymphoproliferative syndrome due to CTLA4 haploinsufficiency,67
Sideroblastic anemia 2,67
Hypomyelinating leukodystrophy 8 with or without oligodontia and-or hypogonadotropic hypogonadism,67
Congenital prothrombin deficiency,67
Pseudoachondroplastic spondyloepiphyseal dysplasia syndrome,67
"Autoimmune thyroid disease, susceptibility to, 3",67
"Myasthenic syndrome, congenital, 22",67
Limb-girdle muscular dystrophy,67
"Renal tubular acidosis, distal, 3, with or without sensorineural hearing loss",67
"Vitamin D-dependent rickets, type 1A",67
Peroxisome biogenesis disorder 11A (Zellweger),67
"Chronic infantile neurological, cutaneous and articular syndrome",67
H syndrome,67
"Intellectual disability, X-linked syndromic, Turner type",66
"Glaucoma 1, open angle, E",66
Hypertrophic cardiomyopathy 25,66
Autosomal recessive titinopathy,66
Branchiootic syndrome 1,66
Joubert syndrome 24,66
Delayed speech and language development,66
Autosomal dominant distal renal tubular acidosis,66
Autosomal recessive limb-girdle muscular dystrophy type 2P,66
"Intellectual disability, autosomal dominant 52",66
Congenital hereditary endothelial dystrophy of cornea,66
Deficiency of hyaluronoglucosaminidase,66
Amelocerebrohypohidrotic syndrome,66
Autosomal recessive hypohidrotic ectodermal dysplasia syndrome,66
DeSanto-Shinawi syndrome due to WAC point mutation,66
"Charcot-Marie-Tooth disease, axonal, type 2EE",66
Brugada syndrome 3,66
"Epidermolysis bullosa dystrophica inversa, autosomal recessive",66
8q24.3 microdeletion syndrome,65
Crigler-Najjar syndrome type 1,65
Anterior segment dysgenesis,65
SLC35A2-congenital disorder of glycosylation,65
Autosomal recessive congenital ichthyosis 4B,65
BARD1-related cancer predisposition,65
DYSF-related disorder,65
Osteopetrosis,65
"Developmental and epileptic encephalopathy, 32",65
Methylmalonic aciduria and homocystinuria type cblF,65
Non-obstructive azoospermia,65
Joubert syndrome 2,65
CTCF-related neurodevelopmental disorder,65
Intellectual developmental disorder with microcephaly and with or without ocular malformations or hypogonadotropic hypogonadism,65
"Methylmalonic acidemia with homocystinuria, type cblX",65
Leber congenital amaurosis 15,65
Tyrosinemia type III,65
COL11A1-related disorder,65
"Myoglobinuria, acute recurrent, autosomal recessive",65
Martsolf syndrome,65
Familial amyloid nephropathy with urticaria AND deafness,65
Early onset severe obesity,65
"Arthrogryposis, distal, with impaired proprioception and touch",65
"Tremor, hereditary essential, 4",65
Cataract 38,65
SHORT syndrome,65
Hypertrophic cardiomyopathy 11,65
"Nephrotic syndrome, type 4",65
Polycystic kidney disease 3 with or without polycystic liver disease,64
Cleidocranial dysostosis,64
Polysyndactyly 4,64
Dihydropteridine reductase deficiency,64
Meniere disease,64
Bartter disease type 4B,64
Charcot-Marie-Tooth disease axonal type 2F,64
Retinitis pigmentosa 43,64
Karyomegalic interstitial nephritis,64
Hypophosphatemic nephrolithiasis/osteoporosis 1,64
Aicardi-Goutieres syndrome 2,64
Alzheimer disease,64
FRAS1-related disorder,64
Congenital stationary night blindness 1E,64
"Hypotonia, ataxia, and delayed development syndrome",64
Oligosynaptic infertility,64
Megaconial type congenital muscular dystrophy,64
Dilated cardiomyopathy 1BB,64
"Intellectual disability, autosomal dominant 56",64
Hereditary spastic paraplegia 5A,64
Short QT syndrome type 1,64
"Meckel syndrome, type 8",63
"Developmental and epileptic encephalopathy, 8",63
"Ehlers-Danlos syndrome, arthrochalasia type, 2",63
Maturity-onset diabetes of the young type 13,63
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 11",63
Cerebral cavernous malformation 3,63
"Congenital heart defects, dysmorphic facial features, and intellectual developmental disorder",63
Childhood onset GLUT1 deficiency syndrome 2,63
Charcot-Marie-Tooth disease type 4B2,63
X-linked intellectual disability-psychosis-macroorchidism syndrome,63
Hereditary spastic paraplegia 35,63
Mitochondrial DNA depletion syndrome,63
Autosomal recessive spinocerebellar ataxia 10,63
Cardiofaciocutaneous syndrome 1,63
Intellectual developmental disorder with seizures and language delay,63
ABCC2-related disorder,63
"Cutis laxa, autosomal recessive, type 1B",63
"Developmental and epileptic encephalopathy, 36",63
"3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome",63
COL4A3-related disorder,63
Dilated cardiomyopathy 1R,63
"Microcephaly 6, primary, autosomal recessive",63
Spastic ataxia 2,63
Loeys-Dietz syndrome 1,63
ABCB4-related disorder,63
Self-limited epilepsy with centrotemporal spikes,63
Genetic non-acquired premature ovarian failure,63
Congenital ichthyosis of skin,63
LRP2-related disorder,62
Bardet-Biedl syndrome 15,62
Primary ciliary dyskinesia 9,62
"Thyroid hormone resistance, generalized, autosomal dominant",62
Congenital myasthenic syndrome 13,62
Retinitis pigmentosa 14,62
Long QT syndrome 5,62
BRIP1-related disorder,62
Chitotriosidase deficiency,62
Autosomal dominant epilepsy with auditory features,62
Cholesteryl ester storage disease,62
Glucocorticoid deficiency with achalasia,62
Muscular dystrophy-dystroglycanopathy,62
Spondyloepiphyseal dysplasia with congenital joint dislocations,62
Hypomyelinating leukodystrophy 2,62
Christianson syndrome,62
Crouzon syndrome,62
Polymerase proofreading-related adenomatous polyposis,62
"Familial visceral amyloidosis, Ostertag type",62
"Intellectual disability, autosomal dominant 22",62
Hepatic methionine adenosyltransferase deficiency,62
COG7 congenital disorder of glycosylation,62
SCN1A-related disorder,62
Idiopathic hypereosinophilic syndrome,62
Deficiency of 2-methylbutyryl-CoA dehydrogenase,61
Cone-rod dystrophy 15,61
Hereditary spastic paraplegia 50,61
Platelet-type bleeding disorder 10,61
Macular corneal dystrophy,61
"Intellectual disability, autosomal dominant 57",61
Somatotroph adenoma,61
Myhre syndrome,61
Arthrogryposis multiplex congenita,61
Progressive familial intrahepatic cholestasis,61
Lucey-Driscoll syndrome,61
Familial renal glucosuria,61
Hypertrophic cardiomyopathy 7,61
Autosomal recessive nonsyndromic hearing loss 31,61
Neurodegeneration with ataxia and late-onset optic atrophy,61
Lymphoma,61
Congenital myasthenic syndrome 12,61
MELAS syndrome,61
Autosomal dominant nonsyndromic hearing loss 36,61
3-hydroxy-3-methylglutaryl-CoA synthase deficiency,61
"Developmental and epileptic encephalopathy, 30",61
Trigonocephaly 2,61
Hypogonadotropic hypogonadism 7 with or without anosmia,61
"Neurodevelopmental disorder with or without anomalies of the brain, eye, or heart",61
Interstitial lung disease 2,60
PGM1-congenital disorder of glycosylation,60
Capillary malformation-arteriovenous malformation 2,60
DMD-related disorder,60
Pseudohypoparathyroidism type I A,60
"Muscular dystrophy-dystroglycanopathy (congenital with intellectual disability), type B14",60
MYO15A-related disorder,60
Usher syndrome type 2D,60
Primary ciliary dyskinesia 5,60
Dilated cardiomyopathy 1M,60
Congenital primary aphakia,60
ZNF469-related disorder,60
Dystonia 27,60
Leri-Weill dyschondrosteosis,60
Costello syndrome,60
"Intellectual disability, autosomal dominant 39",60
Bardet-Biedl syndrome 3,60
"Melanoma, cutaneous malignant, susceptibility to, 1",60
Spermatogenic failure 28,60
Primary Mitochondrial Disorders,60
X-linked hydrocephalus syndrome,60
Aicardi Goutieres syndrome,60
Retinitis pigmentosa 61,60
D-2-hydroxyglutaric aciduria 1,60
MYBPC3-related disorder,60
Glycogen storage disease due to muscle and heart glycogen synthase deficiency,60
"Emery-Dreifuss muscular dystrophy 2, autosomal dominant",60
Phytanic acid storage disease,60
Xeroderma pigmentosum group B,60
"Intellectual disability, X-linked 19",60
Leukodystrophy,60
"Intellectual disability-hypotonic facies syndrome, X-linked, 1",60
Hyperparathyroidism 1,60
"46,XY disorder of sex development",60
Proline dehydrogenase deficiency,60
Rapadilino syndrome,60
Hypertrophic cardiomyopathy 10,60
Congenital nephrotic syndrome,60
Geleophysic dysplasia,60
Distal spinal muscular atrophy,60
Steinert myotonic dystrophy syndrome,60
Clark-Baraitser syndrome,59
Muscular dystrophy,59
"Intellectual developmental disorder with speech delay, autism, and dysmorphic facies",59
COL11A2-related disorder,59
Mitochondrial neurogastrointestinal encephalomyopathy,59
Short-rib thoracic dysplasia 11 with or without polydactyly,59
CDH23-related disorder,59
Alpha-N-acetylgalactosaminidase deficiency type 1,59
"Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 3",59
NPC1-related disorder,59
Pontocerebellar hypoplasia type 1B,59
Renal cyst,59
Myopathy,59
Autosomal recessive nonsyndromic hearing loss 16,59
Patterned macular dystrophy 1,59
"Neurodevelopmental disorder with regression, abnormal movements, loss of speech, and seizures",59
Infantile myofibromatosis,59
Isolated neonatal sclerosing cholangitis,59
"Seizures, benign familial neonatal, 2",59
Hermansky-Pudlak syndrome 5,59
MYH7-related disorder,59
Autosomal recessive congenital ichthyosis 5,59
Leprechaunism syndrome,58
Neuromuscular disease,58
Amyotrophic lateral sclerosis type 10,58
Retinitis pigmentosa 38,58
Polymicrogyria with or without vascular-type Ehlers-Danlos syndrome,58
SMARCA4-related disorder,58
Inclusion body myopathy with Paget disease of bone and frontotemporal dementia,58
Mitochondrial short-chain Enoyl-Coa hydratase 1 deficiency,58
MLH1-related disorder,58
Cholangiocarcinoma,58
Hereditary spastic paraplegia 10,58
Familial aortopathy,58
Stüve-Wiedemann syndrome 1,58
Immunodeficiency-centromeric instability-facial anomalies syndrome 1,58
Joubert syndrome 8,58
Hermansky-Pudlak syndrome 6,58
L-2-hydroxyglutaric aciduria,58
Rhizomelic chondrodysplasia punctata type 2,58
"Intellectual disability, autosomal dominant 45",58
Patterned macular dystrophy 2,58
Dystonia 9,58
Primary myelofibrosis,58
Familial dysfibrinogenemia,58
Primary ciliary dyskinesia 19,58
Retinitis pigmentosa 59,58
"Crigler-Najjar syndrome, type II",58
Age related macular degeneration 5,58
Malignant hyperthermia of anesthesia,58
Neonatal encephalomyopathy-cardiomyopathy-respiratory distress syndrome,57
CHD7-related CHARGE syndrome,57
"Epilepsy, familial adult myoclonic, 5",57
Congenital disorder of glycosylation,57
Deafness,57
ATP7B-related disorder,57
"Ehlers-Danlos syndrome, spondylodysplastic type, 2",57
Vitamin D-dependent rickets type II with alopecia,57
Autoimmune interstitial lung disease-arthritis syndrome,57
Joubert syndrome 25,57
"Dyskeratosis congenita, autosomal dominant 1",57
Gaucher disease type II,57
von Willebrand disorder,57
Hereditary spastic paraplegia 47,57
Sarcotubular myopathy,57
Oculocutaneous albinism type 3,57
Neonatal diabetes mellitus with congenital hypothyroidism,57
Cutis laxa with osteodystrophy,57
Nemaline myopathy 6,57
